old_id,name,usage_count,category_major,category_sub,drop_type,reason
12655,咖啡细粉,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12656,多少鸡爪,3,禽肉类及其制品,禽肉,junk,数量或单位残留且无法可靠恢复原食材
12658,家常豆腐,3,干豆类及其制品,豆制品,processed,豆制品或淀粉制品（严格模式排除）
12660,这样,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12661,汕头手打牛肉丸,3,畜肉类及其制品,畜肉,processed,成品、半成品或加工食品
12662,蚝士,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12664,瑞士卷,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12666,藜麦糙米饭,3,谷类及其制品,谷物,processed,成品、半成品或加工食品
12667,速溶咖啡咖啡,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12670,蜜枣粽子,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12672,一次性塑料杯,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12673,寒天晶球,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12676,自行调节牛奶,3,其他,饮品,processed,饮料、酒类或乳制品不属于本版核心原生食材
12678,榆钱儿,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12680,太妃炼奶,3,其他类,其他,processed,饮料、酒类或乳制品不属于本版核心原生食材
12688,虾肉干,3,鱼虾蟹贝类,水产,processed,加工肉制品
12689,皮橙皮,3,其他,烘焙与加工食品,junk,不属于指南允许的基础原生食材类别
12691,珍珠米饭,3,谷类及其制品,谷物,processed,成品、半成品或加工食品
12692,可面条,3,谷类及其制品,谷物,processed,成品、半成品或加工食品
12693,米饭量米,3,谷类及其制品,谷物,processed,成品、半成品或加工食品
12694,健康饮食,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12695,杏仁蛋糕,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12697,多年糕,3,其他,烘焙与加工食品,processed,成品、半成品或加工食品
12698,饼干磨具,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12700,自定意大利面,3,谷类及其制品,谷物,processed,成品、半成品或加工食品
12704,口味可多加芝士,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12707,烧海苔,3,鱼虾蟹贝类,水产,processed,成品、半成品或加工食品
12708,豆腐内脂豆腐,3,干豆类及其制品,豆制品,processed,豆制品或淀粉制品（严格模式排除）
12709,可更换,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12710,肉花肠,3,畜肉类及其制品,畜肉,processed,成品、半成品或加工食品
12711,多少银耳,3,菌藻类,菌藻,junk,数量或单位残留且无法可靠恢复原食材
12713,其他颜色,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12714,味酸奶粉,3,其他,饮品,processed,烘焙或乳制加工食品
12715,包方便面,3,谷类及其制品,谷物,processed,成品、半成品或加工食品
12717,爱爱心,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12719,豆沙奶油霜,3,干豆类及其制品,豆制品,processed,烘焙或乳制加工食品
12723,格巧克力,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12724,鲜马苏里拉奶酪,3,其他,烘焙与加工食品,processed,烘焙或乳制加工食品
12725,脆皮火腿肠,3,其他,烘焙与加工食品,processed,加工肉制品
12728,熟五花肉,3,畜肉类及其制品,畜肉,processed,成品、半成品或加工食品
12729,水融化,3,其他类,其他,junk,不属于指南允许的基础原生食材类别
12730,了啤酒,3,其他,饮品,seasoning,调味料不进入基础原生食材表
